Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric,75.0,-54.0,0.0,top
C2,4.7uF,C_0805_2012Metric,85.0,-54.0,0.0,top
C3,0.1uF,C_0805_2012Metric,104.9375,-119.5,0.0,top
C4,0.1uF,C_0805_2012Metric,66.9375,-122.0,0.0,top
C5,0.1uF,C_0805_2012Metric,95.0625,-79.0,180.0,top
C6,0.1uF,C_0805_2012Metric,86.9375,-144.0,0.0,top
C7,0.1uF,C_0805_2012Metric,75.0625,-144.0,180.0,top
C8,0.1uF,C_0805_2012Metric,111.975,-134.0,0.0,top
C9,0.1uF,C_0805_2012Metric,86.9375,-79.0,0.0,top
C10,0.1uF,C_0805_2012Metric,94.9375,-111.5,0.0,top
C11,0.1uF,C_0805_2012Metric,66.9375,-100.0,0.0,top
C12,0.1uF,C_0805_2012Metric,75.0,-122.0,180.0,top
C13,0.1uF,C_0805_2012Metric,66.9375,-79.0,0.0,top
C14,0.1uF,C_0805_2012Metric,75.0625,-79.0,180.0,top
C15,0.1uF,C_0805_2012Metric,67.0,-144.0,0.0,top
C16,0.1uF,C_0805_2012Metric,82.0,-122.0,180.0,top
C17,0.1uF,C_0805_2012Metric,75.0625,-100.0,180.0,top
C18,0.1uF,C_0805_2012Metric,101.0625,-111.5,0.0,top
C19,0.1uF,C_0805_2012Metric,103.0,-131.0,0.0,top
C20,0.1uF,C_0805_2012Metric,94.0,-134.5,0.0,top
C21,0.1uF,C_0805_2012Metric,95.0625,-144.0,180.0,top
C22,0.1uF,C_0805_2012Metric,104.92,-123.1,0.0,top
C23,0.1uF,C_0805_2012Metric,83.0625,-129.0,180.0,top
J1,x68000_expansion,x68000_expansion,50.0,-173.46,0.0,top
J2,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,112.0,-152.0,0.0,top
J4,Mini-DIN-5,MD-50SM,180.4,-123.1,-90.0,top
R3,10K,R_0805_2012Metric,110.0375,-146.4,180.0,top
R6,220,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,80.975,-69.5,0.0,top
R9,220,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,80.97,-73.08,180.0,top
U1,74LCX07,TSSOP-14_4.4x5mm_P0.65mm,71.0,-70.0,270.0,top
U2,AT25SF081-SSHD-X,SOIC-8_3.9x4.9mm_P1.27mm,112.0,-140.0,90.0,top
U3,TLV73312PDBV,SOT-23-5,80.0,-55.0,180.0,top
U4,SN74LVC8T245DWR,SOIC-24W_7.5x15.4mm_P1.27mm,91.0,-155.0,270.0,top
U5,SN74LVC8T245DWR,SOIC-24W_7.5x15.4mm_P1.27mm,71.0,-133.0,270.0,top
U6,SN74LVC8T245DWR,SOIC-24W_7.5x15.4mm_P1.27mm,91.0,-89.0,270.0,top
U7,SN74LVC8T245DWR,SOIC-24W_7.5x15.4mm_P1.27mm,71.0,-155.0,270.0,top
U8,SN74LVC8T245DWR,SOIC-24W_7.5x15.4mm_P1.27mm,71.0,-111.0,270.0,top
U9,SN74LVC8T245DWR,SOIC-24W_7.5x15.4mm_P1.27mm,71.0,-89.0,270.0,top
U10,ICE40HX1K-VQ100,QFP50P1600X1600X120-100N,94.0,-122.0,0.0,top
U11,TLV73333PDBV,SOT-23-5,70.0,-55.0,180.0,top
X1,16MHz,Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm,111.34,-124.55,90.0,top
